Table Names,provincia,poblacion,total,nuevas,mes,anio
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,2,2,3,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,1,1,3,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,4,4,3,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,52,52,3,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,1,1,3,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,6,6,3,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,1,1,3,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,5,5,3,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,4,4,3,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,1,1,3,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,0,0,3,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,15,13,4,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,11,11,4,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,5,5,4,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,9,7,4,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,35,35,4,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,19,18,4,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,80,76,4,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,19,19,4,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,1,4,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,380,328,4,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,9,8,4,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,10,10,4,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,38,32,4,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,106,105,4,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,1,1,4,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,2,2,4,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,1,1,4,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,3,3,4,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,68,63,4,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,47,43,4,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,21,21,4,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,1,0,4,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,17,17,4,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,2,2,4,2020
