provincia,poblacion,total,nuevas,lat,lng,semana,anio
Imbabura,476257,29289,83,"0,362678","-78,130667",13,2022
Loja,521154,33355,94,"-3,983333","-79,2",13,2022
Los Ríos,921763,17246,10,"-1,8","-79,533333",13,2022
Manabí,1562079,54904,43,"-1,056181","-80,455217",13,2022
Morona Santiago,196535,10461,14,"-2,3","-78,116667",13,2022
Napo,133705,6766,11,"-0,989","-77,8159",13,2022
Orellana,161338,5800,4,"-0,466667","-76,966667",13,2022
Pastaza,114202,5297,6,"-1,066667","-78,001111",13,2022
Pichincha,3228233,319657,2067,"-0,218611","-78,509722",13,2022
Santa Elena,401178,6506,4,"-2,2267","-80,8583",13,2022
Sto. Domingo Tsáchilas,511151,16725,6,"-0,254167","-79,171944",13,2022
Sucumbíos,230503,8765,10,"0,084722","-76,882778",13,2022
Tungurahua,590600,26752,67,"-1,241667","-78,619722",13,2022
Zamora Chinchipe,120416,5208,36,"-4,12","-78,8",13,2022
Azuay,881394,42159,176,"-2,897414","-79,004481",14,2022
Bolívar,209933,11651,12,"-1,605556","-79,003056",14,2022
Carchi,186869,13161,11,"0,81218","-77,71633",14,2022
Cañar,281396,14423,36,"-2,733333","-78,833333",14,2022
Chimborazo,524004,15946,55,"-1,674347","-78,648294",14,2022
Cotopaxi,488716,17986,63,"-0,933333","-78,616667",14,2022
El Oro,715751,49214,61,"-3,266667","-79,966667",14,2022
Esmeraldas,591083,14006,16,"1,05","-79,2",14,2022
Galápagos,33042,3096,19,"-0,8","-89,4",14,2022
Guayas,4387434,134791,394,"-2,183333","-79,883333",14,2022
Imbabura,476257,29504,215,"0,362678","-78,130667",14,2022
Loja,521154,33431,76,"-3,983333","-79,2",14,2022
Los Ríos,921763,17287,41,"-1,8","-79,533333",14,2022
Manabí,1562079,55054,150,"-1,056181","-80,455217",14,2022
Morona Santiago,196535,10477,16,"-2,3","-78,116667",14,2022
Napo,133705,6775,9,"-0,989","-77,8159",14,2022
Orellana,161338,5842,42,"-0,466667","-76,966667",14,2022
Pastaza,114202,5303,6,"-1,066667","-78,001111",14,2022
Pichincha,3228233,321077,1420,"-0,218611","-78,509722",14,2022
Santa Elena,401178,6519,13,"-2,2267","-80,8583",14,2022
Sto. Domingo Tsáchilas,511151,16757,32,"-0,254167","-79,171944",14,2022
Sucumbíos,230503,8787,22,"0,084722","-76,882778",14,2022
Tungurahua,590600,26795,43,"-1,241667","-78,619722",14,2022
Zamora Chinchipe,120416,5222,14,"-4,12","-78,8",14,2022
Azuay,881394,42387,228,"-2,897414","-79,004481",15,2022
Bolívar,209933,11669,18,"-1,605556","-79,003056",15,2022
Carchi,186869,13166,5,"0,81218","-77,71633",15,2022
Cañar,281396,14486,63,"-2,733333","-78,833333",15,2022
Chimborazo,524004,15964,18,"-1,674347","-78,648294",15,2022
Cotopaxi,488716,17998,12,"-0,933333","-78,616667",15,2022
El Oro,715751,49232,18,"-3,266667","-79,966667",15,2022
Esmeraldas,591083,14007,1,"1,05","-79,2",15,2022
Galápagos,33042,3101,5,"-0,8","-89,4",15,2022
Guayas,4387434,134866,75,"-2,183333","-79,883333",15,2022
Imbabura,476257,29530,26,"0,362678","-78,130667",15,2022
Loja,521154,33471,40,"-3,983333","-79,2",15,2022
Los Ríos,921763,17292,5,"-1,8","-79,533333",15,2022
Manabí,1562079,55084,30,"-1,056181","-80,455217",15,2022
Morona Santiago,196535,10488,11,"-2,3","-78,116667",15,2022
Napo,133705,6779,4,"-0,989","-77,8159",15,2022
Orellana,161338,5845,3,"-0,466667","-76,966667",15,2022
Pastaza,114202,5304,1,"-1,066667","-78,001111",15,2022
Pichincha,3228233,322044,967,"-0,218611","-78,509722",15,2022
Santa Elena,401178,6521,2,"-2,2267","-80,8583",15,2022
Sto. Domingo Tsáchilas,511151,16764,7,"-0,254167","-79,171944",15,2022
Sucumbíos,230503,8787,0,"0,084722","-76,882778",15,2022
Tungurahua,590600,26876,81,"-1,241667","-78,619722",15,2022
Zamora Chinchipe,120416,5223,1,"-4,12","-78,8",15,2022
Azuay,881394,42640,253,"-2,897414","-79,004481",16,2022
Bolívar,209933,11675,6,"-1,605556","-79,003056",16,2022
Carchi,186869,13169,3,"0,81218","-77,71633",16,2022
Cañar,281396,14519,33,"-2,733333","-78,833333",16,2022
Chimborazo,524004,15979,15,"-1,674347","-78,648294",16,2022
Cotopaxi,488716,18011,13,"-0,933333","-78,616667",16,2022
El Oro,715751,49255,23,"-3,266667","-79,966667",16,2022
Esmeraldas,591083,14007,0,"1,05","-79,2",16,2022
Galápagos,33042,3102,1,"-0,8","-89,4",16,2022
Guayas,4387434,134968,102,"-2,183333","-79,883333",16,2022
Imbabura,476257,29542,12,"0,362678","-78,130667",16,2022
Loja,521154,33514,43,"-3,983333","-79,2",16,2022
Los Ríos,921763,17298,6,"-1,8","-79,533333",16,2022
Manabí,1562079,55108,24,"-1,056181","-80,455217",16,2022
Morona Santiago,196535,10501,13,"-2,3","-78,116667",16,2022
Napo,133705,6782,3,"-0,989","-77,8159",16,2022
Orellana,161338,5848,3,"-0,466667","-76,966667",16,2022
Pastaza,114202,5305,1,"-1,066667","-78,001111",16,2022
Pichincha,3228233,322861,817,"-0,218611","-78,509722",16,2022
Santa Elena,401178,6523,2,"-2,2267","-80,8583",16,2022
Sto. Domingo Tsáchilas,511151,16767,3,"-0,254167","-79,171944",16,2022
Sucumbíos,230503,8788,1,"0,084722","-76,882778",16,2022
Tungurahua,590600,26898,22,"-1,241667","-78,619722",16,2022
Zamora Chinchipe,120416,5225,2,"-4,12","-78,8",16,2022
Azuay,881394,42784,144,"-2,897414","-79,004481",17,2022
Bolívar,209933,11679,4,"-1,605556","-79,003056",17,2022
Carchi,186869,13181,12,"0,81218","-77,71633",17,2022
Cañar,281396,14540,21,"-2,733333","-78,833333",17,2022
Chimborazo,524004,16000,21,"-1,674347","-78,648294",17,2022
Cotopaxi,488716,18029,18,"-0,933333","-78,616667",17,2022
El Oro,715751,49276,21,"-3,266667","-79,966667",17,2022
Esmeraldas,591083,14013,6,"1,05","-79,2",17,2022
Galápagos,33042,3108,6,"-0,8","-89,4",17,2022
Guayas,4387434,135079,111,"-2,183333","-79,883333",17,2022
Imbabura,476257,29560,18,"0,362678","-78,130667",17,2022
Loja,521154,33533,19,"-3,983333","-79,2",17,2022
Los Ríos,921763,17302,4,"-1,8","-79,533333",17,2022
Manabí,1562079,55135,27,"-1,056181","-80,455217",17,2022
Morona Santiago,196535,10507,6,"-2,3","-78,116667",17,2022
Napo,133705,6784,2,"-0,989","-77,8159",17,2022
Orellana,161338,5855,7,"-0,466667","-76,966667",17,2022
Pastaza,114202,5307,2,"-1,066667","-78,001111",17,2022
Pichincha,3228233,323858,997,"-0,218611","-78,509722",17,2022
Santa Elena,401178,6524,1,"-2,2267","-80,8583",17,2022
Sto. Domingo Tsáchilas,511151,16773,6,"-0,254167","-79,171944",17,2022
Sucumbíos,230503,8788,0,"0,084722","-76,882778",17,2022
Tungurahua,590600,26922,24,"-1,241667","-78,619722",17,2022
Zamora Chinchipe,120416,5235,10,"-4,12","-78,8",17,2022
Azuay,881394,42853,69,"-2,897414","-79,004481",18,2022
Bolívar,209933,11681,2,"-1,605556","-79,003056",18,2022
Carchi,186869,13187,6,"0,81218","-77,71633",18,2022
Cañar,281396,14558,18,"-2,733333","-78,833333",18,2022
Chimborazo,524004,16022,22,"-1,674347","-78,648294",18,2022
Cotopaxi,488716,18035,6,"-0,933333","-78,616667",18,2022
El Oro,715751,49283,7,"-3,266667","-79,966667",18,2022
Esmeraldas,591083,14021,8,"1,05","-79,2",18,2022
Galápagos,33042,3108,0,"-0,8","-89,4",18,2022
Guayas,4387434,135204,125,"-2,183333","-79,883333",18,2022
Imbabura,476257,29588,28,"0,362678","-78,130667",18,2022
Loja,521154,33545,12,"-3,983333","-79,2",18,2022
Los Ríos,921763,17310,8,"-1,8","-79,533333",18,2022
Manabí,1562079,55155,20,"-1,056181","-80,455217",18,2022
Morona Santiago,196535,10509,2,"-2,3","-78,116667",18,2022
Napo,133705,6786,2,"-0,989","-77,8159",18,2022
Orellana,161338,5855,0,"-0,466667","-76,966667",18,2022
Pastaza,114202,5310,3,"-1,066667","-78,001111",18,2022
Pichincha,3228233,324717,859,"-0,218611","-78,509722",18,2022
Santa Elena,401178,6524,0,"-2,2267","-80,8583",18,2022
Sto. Domingo Tsáchilas,511151,16776,3,"-0,254167","-79,171944",18,2022
