zona,region,provincia,poblacion,semana,mes,anio,primera_dosis,dosis_refuerzo,dosis_total,dosis_unica,segunda_dosis
2,amazonia,Napo,133705,23,6,2021,109937,0,146662,0,36725
3,sierra,Bolívar,209933,19,5,2021,151944,0,181515,0,29571
4,costa,Sto. Domingo Tsáchilas,511151,3,1,2022,2597113,197204,5239256,227353,2217586
3,sierra,Cotopaxi,488716,12,3,2021,32732,0,33537,0,805
3,sierra,Chimborazo,524004,5,1,2022,2410240,482707,5138382,101884,2143551
7,amazonia,Zamora Chinchipe,120416,47,11,2021,580691,8640,1028675,14560,424784
3,sierra,Cotopaxi,488716,40,9,2021,1512428,0,2899055,101546,1285081
2,amazonia,Orellana,161338,12,3,2021,14859,0,15608,0,749
6,sierra,Cañar,281396,17,4,2021,87139,0,114193,0,27054
8,costa,Guayas,4387434,47,11,2021,21330079,196718,39242400,627322,17088281
4,costa,Sto. Domingo Tsáchilas,511151,26,6,2021,424348,0,612943,0,188595
5,costa,Santa Elena,401178,34,8,2021,1459290,0,2356841,5698,891853
5,costa,Los Ríos,921763,46,11,2021,4000112,6702,7305870,166494,3132562
2,amazonia,Orellana,161338,41,10,2021,694951,0,1275362,20573,559838
3,sierra,Cotopaxi,488716,41,10,2021,2167022,0,4117986,144731,1806233
4,costa,Sto. Domingo Tsáchilas,511151,47,11,2021,2321217,30152,4273495,186178,1735948
7,amazonia,Zamora Chinchipe,120416,52,12,2021,619237,37780,1188262,18819,512426
3,sierra,Tungurahua,590600,47,11,2021,3076826,56588,5781610,169696,2478500
7,amazonia,Zamora Chinchipe,120416,49,12,2021,346376,10497,636354,9406,270075
6,sierra,Azuay,881394,48,11,2021,4770425,202732,9170224,103918,4093149
6,sierra,Azuay,881394,28,7,2021,1723971,0,2551339,0,827368
7,costa,El Oro,715751,14,4,2021,59198,0,69559,0,10361
6,sierra,Azuay,881394,5,1,2021,4641,0,4641,0,0
7,sierra,Loja,521154,39,9,2021,2479505,0,4691381,18616,2193260
5,costa,Santa Elena,401178,12,3,2021,18582,0,21774,0,3192
1,sierra,Carchi,186869,47,11,2021,1185346,17570,2111866,40695,868255
7,sierra,Loja,521154,41,10,2021,2552840,0,4812090,23013,2236237
1,sierra,Carchi,186869,42,10,2021,1069376,0,1942546,32418,840752
2,amazonia,Pastaza,114202,17,4,2021,31348,0,36878,0,5530
3,sierra,Tungurahua,590600,40,10,2021,758445,0,1481467,44256,678766
6,amazonia,Morona Santiago,196535,33,8,2021,518351,0,750768,6,232411
2,amazonia,Sucumbíos,230503,14,4,2021,19694,0,22300,0,2606
7,amazonia,Zamora Chinchipe,120416,18,5,2021,11151,0,13079,0,1928
6,amazonia,Morona Santiago,196535,25,6,2021,176092,0,257143,0,81051
2,amazonia,Napo,133705,13,3,2021,28205,0,32145,0,3940
1,costa,Esmeraldas,591083,8,2,2021,5818,0,6111,0,293
7,costa,El Oro,715751,20,5,2021,473597,0,562326,0,88729
5,costa,Santa Elena,401178,36,9,2021,836241,0,1576301,21941,718119
1,sierra,Imbabura,476257,17,4,2021,194899,0,231355,0,36456
1,costa,Esmeraldas,591083,18,5,2021,40032,0,45512,0,5480
4,costa,Sto. Domingo Tsáchilas,511151,28,7,2021,585968,0,820656,0,234688
2,amazonia,Pastaza,114202,29,7,2021,217878,0,285842,0,67964
2,amazonia,Sucumbíos,230503,49,12,2021,637826,18703,1187319,31029,499761
6,sierra,Cañar,281396,41,10,2021,1028819,0,1907660,49235,829606
1,sierra,Carchi,186869,9,2,2021,4192,0,4524,0,332
7,costa,El Oro,715751,36,8,2021,1479006,0,2659556,13909,1166641
1,sierra,Imbabura,476257,45,11,2021,2118636,9861,3935215,68903,1737815
2,amazonia,Sucumbíos,230503,17,4,2021,72814,0,94700,0,21886
5,costa,Los Ríos,921763,40,10,2021,1018110,0,1923446,42246,863090
3,sierra,Cotopaxi,488716,42,10,2021,2210098,0,4167928,146675,1811155
7,sierra,Loja,521154,28,7,2021,1157925,0,1698769,0,540844
1,costa,Esmeraldas,591083,13,3,2021,50890,0,58945,0,8055
5,costa,Los Ríos,921763,7,2,2021,3041,0,3041,0,0
1,sierra,Imbabura,476257,7,2,2021,2268,0,2268,0,0
6,sierra,Cañar,281396,44,10,2021,1154816,3708,2103842,53015,892303
7,amazonia,Zamora Chinchipe,120416,31,7,2021,385981,0,500914,0,114933
6,sierra,Azuay,881394,3,1,2022,5011341,828557,10686274,122606,4723770
6,amazonia,Morona Santiago,196535,32,8,2021,499326,0,658404,0,159078
3,sierra,Cotopaxi,488716,27,7,2021,280050,0,415774,0,135724
4,costa,Manabí,1562079,14,3,2021,92389,0,113169,0,20780
2,amazonia,Napo,133705,32,8,2021,583551,0,719104,0,135553
3,sierra,Chimborazo,524004,26,6,2021,722260,0,1044057,0,321797
