zona,region,provincia,poblacion,mes,anio,dosis_total,dosis_refuerzo,primera_dosis,dosis_unica,segunda_dosis
3,sierra,Tungurahua,590600,10,2021,23579411,15225,12275610,716647,10571929
3,sierra,Bolívar,209933,9,2021,6964500,0,3686601,148150,3129749
8,costa,Guayas,4387434,8,2021,114062808,0,76163927,222983,37675898
1,costa,Esmeraldas,591083,1,2021,1418,0,1418,0,0
6,sierra,Azuay,881394,9,2021,32425512,0,17002108,281864,15141540
6,sierra,Azuay,881394,4,2021,2223075,0,1827278,0,395797
3,sierra,Chimborazo,524004,8,2021,14443383,0,9861721,42984,4538678
2,amazonia,Pastaza,114202,8,2021,2503202,0,1653177,7869,842156
6,sierra,Azuay,881394,1,2022,43029314,3602746,20054609,494389,18877570
2,amazonia,Pastaza,114202,4,2021,138044,0,118882,0,19162
3,sierra,Chimborazo,524004,5,2021,2573243,0,2042701,0,530542
7,sierra,Loja,521154,8,2021,17064962,0,10983340,4454,6077168
7,sierra,Loja,521154,6,2021,5291967,0,3590801,0,1701166
1,sierra,Imbabura,476257,3,2021,202766,0,175402,0,27364
8,costa,Guayas,4387434,7,2021,54800395,0,42065709,0,12734686
1,sierra,Imbabura,476257,7,2021,7875549,0,6086763,0,1788786
1,costa,Esmeraldas,591083,4,2021,638202,0,528591,0,109611
1,sierra,Carchi,186869,5,2021,1153930,0,954528,0,199402
2,amazonia,Orellana,161338,3,2021,72015,0,65776,0,6239
7,costa,El Oro,715751,10,2021,30057606,13441,16102039,372390,13569736
5,insular,Galápagos,33042,5,2021,1066333,0,783826,0,282507
5,insular,Galápagos,33042,7,2021,1615344,0,927629,0,687715
9,sierra,Pichincha,3228233,9,2021,130442082,0,67469015,1231120,61741947
6,sierra,Cañar,281396,12,2021,11581379,452250,5850356,256886,5021887
1,sierra,Carchi,186869,10,2021,8704256,4075,4806114,147805,3746262
1,sierra,Imbabura,476257,2,2021,28227,0,26490,0,1737
6,sierra,Cañar,281396,3,2021,137261,0,127404,0,9857
7,costa,El Oro,715751,8,2021,23148140,0,15220578,40011,7887551
2,amazonia,Sucumbíos,230503,2,2021,8865,0,8282,0,583
2,amazonia,Sucumbíos,230503,3,2021,102718,0,95602,0,7116
2,amazonia,Sucumbíos,230503,9,2021,6894962,0,3724554,141565,3028843
5,insular,Galápagos,33042,2,2021,13567,0,12839,0,728
1,sierra,Carchi,186869,9,2021,8018195,0,4443383,70348,3504464
7,costa,El Oro,715751,2,2021,17817,0,17101,0,716
7,sierra,Loja,521154,5,2021,3364176,0,2672387,0,691789
2,amazonia,Napo,133705,4,2021,284009,0,227459,0,56550
2,amazonia,Orellana,161338,1,2022,7114992,266820,3664475,141337,3042360
7,amazonia,Zamora Chinchipe,120416,12,2021,5153080,138390,2724721,80174,2209795
7,costa,El Oro,715751,3,2021,361140,0,336926,0,24214
8,costa,Guayas,4387434,6,2021,23284864,0,15855403,0,7429461
2,amazonia,Sucumbíos,230503,7,2021,2893300,0,2413955,0,479345
3,sierra,Cotopaxi,488716,3,2021,158037,0,141408,0,16629
5,costa,Santa Elena,401178,12,2021,16725434,437302,9075472,259349,6953311
3,sierra,Bolívar,209933,3,2021,109597,0,100224,0,9373
2,amazonia,Sucumbíos,230503,10,2021,7599892,2821,4125028,192845,3279198
3,sierra,Tungurahua,590600,7,2021,9289352,0,7252152,0,2037200
3,sierra,Chimborazo,524004,4,2021,1119989,0,972936,0,147053
7,amazonia,Zamora Chinchipe,120416,4,2021,201850,0,164836,0,37014
1,sierra,Carchi,186869,12,2021,10343749,357786,5367240,212126,4406597
7,amazonia,Zamora Chinchipe,120416,6,2021,775414,0,549481,0,225933
8,costa,Guayas,4387434,12,2021,192225844,4374675,100640918,2842016,84368235
9,sierra,Pichincha,3228233,7,2021,58610003,0,44201829,0,14408174
7,sierra,Loja,521154,3,2021,335892,0,310851,0,25041
6,sierra,Cañar,281396,1,2022,11518530,928395,5466195,248833,4875107
7,costa,El Oro,715751,1,2021,40,0,40,0,0
6,amazonia,Morona Santiago,196535,10,2021,4843058,3505,2569175,222096,2048282
2,amazonia,Pastaza,114202,1,2022,4383086,288276,2101048,181668,1812094
3,sierra,Tungurahua,590600,11,2021,24815852,239789,13181378,743638,10651047
8,costa,Guayas,4387434,11,2021,167577298,817631,90889275,2686556,73183836
6,sierra,Cañar,281396,5,2021,1004714,0,806478,0,198236
2,amazonia,Napo,133705,9,2021,4492865,0,2463247,64599,1965019
2,amazonia,Sucumbíos,230503,1,2021,648,0,648,0,0
7,amazonia,Zamora Chinchipe,120416,1,2022,5131569,312801,2555057,86644,2177067
5,insular,Galápagos,33042,1,2022,2018487,377845,838232,0,802410
