provincia,poblacion,total,nuevas,semana,anio
Imbabura,476257,5,2,16,2020
Loja,521154,5,3,16,2020
Los Ríos,921763,18,5,16,2020
Manabí,1562079,42,13,16,2020
Morona Santiago,196535,0,0,16,2020
Napo,133705,1,1,16,2020
Orellana,161338,0,0,16,2020
Pastaza,114202,2,2,16,2020
Pichincha,3228233,43,17,16,2020
Santa Elena,401178,5,0,16,2020
Sto. Domingo Tsáchilas,511151,13,5,16,2020
Sucumbíos,230503,1,0,16,2020
Tungurahua,590600,8,3,16,2020
Zamora Chinchipe,120416,1,0,16,2020
Azuay,881394,11,0,17,2020
Bolívar,209933,7,1,17,2020
Carchi,186869,3,0,17,2020
Cañar,281396,9,1,17,2020
Chimborazo,524004,27,3,17,2020
Cotopaxi,488716,13,2,17,2020
El Oro,715751,59,8,17,2020
Esmeraldas,591083,12,5,17,2020
Galápagos,33042,1,0,17,2020
Guayas,4387434,245,37,17,2020
Imbabura,476257,8,3,17,2020
Loja,521154,7,2,17,2020
Los Ríos,921763,19,1,17,2020
Manabí,1562079,50,8,17,2020
Morona Santiago,196535,0,0,17,2020
Napo,133705,2,1,17,2020
Orellana,161338,0,0,17,2020
Pastaza,114202,2,0,17,2020
Pichincha,3228233,54,11,17,2020
Santa Elena,401178,5,0,17,2020
Sto. Domingo Tsáchilas,511151,15,2,17,2020
Sucumbíos,230503,1,0,17,2020
Tungurahua,590600,9,1,17,2020
Zamora Chinchipe,120416,1,0,17,2020
Azuay,881394,16,5,18,2020
Bolívar,209933,13,6,18,2020
Carchi,186869,6,3,18,2020
Cañar,281396,10,1,18,2020
Chimborazo,524004,52,25,18,2020
Cotopaxi,488716,25,12,18,2020
El Oro,715751,106,47,18,2020
Esmeraldas,591083,28,16,18,2020
Galápagos,33042,1,0,18,2020
Guayas,4387434,683,438,18,2020
Imbabura,476257,9,1,18,2020
Loja,521154,16,9,18,2020
Los Ríos,921763,59,40,18,2020
Manabí,1562079,206,156,18,2020
Morona Santiago,196535,1,1,18,2020
Napo,133705,3,1,18,2020
Orellana,161338,1,1,18,2020
Pastaza,114202,3,1,18,2020
Pichincha,3228233,91,37,18,2020
Santa Elena,401178,164,159,18,2020
Sto. Domingo Tsáchilas,511151,35,20,18,2020
Sucumbíos,230503,2,1,18,2020
Tungurahua,590600,32,23,18,2020
Zamora Chinchipe,120416,2,1,18,2020
Azuay,881394,24,8,19,2020
Bolívar,209933,18,5,19,2020
Carchi,186869,8,2,19,2020
Cañar,281396,22,12,19,2020
Chimborazo,524004,66,14,19,2020
Cotopaxi,488716,36,11,19,2020
El Oro,715751,114,8,19,2020
Esmeraldas,591083,43,15,19,2020
Galápagos,33042,1,0,19,2020
Guayas,4387434,1059,376,19,2020
Imbabura,476257,11,2,19,2020
Loja,521154,14,-2,19,2020
Los Ríos,921763,76,17,19,2020
Manabí,1562079,252,46,19,2020
Morona Santiago,196535,1,0,19,2020
Napo,133705,3,0,19,2020
Orellana,161338,1,0,19,2020
Pastaza,114202,4,1,19,2020
Pichincha,3228233,105,14,19,2020
Santa Elena,401178,191,27,19,2020
Sto. Domingo Tsáchilas,511151,39,4,19,2020
Sucumbíos,230503,3,1,19,2020
Tungurahua,590600,34,2,19,2020
Zamora Chinchipe,120416,2,0,19,2020
Azuay,881394,29,5,20,2020
Bolívar,209933,19,1,20,2020
Carchi,186869,8,0,20,2020
Cañar,281396,25,3,20,2020
Chimborazo,524004,87,21,20,2020
Cotopaxi,488716,38,2,20,2020
El Oro,715751,145,31,20,2020
Esmeraldas,591083,56,13,20,2020
Galápagos,33042,1,0,20,2020
Guayas,4387434,1226,167,20,2020
Imbabura,476257,11,0,20,2020
Loja,521154,19,5,20,2020
Los Ríos,921763,151,75,20,2020
Manabí,1562079,337,85,20,2020
Morona Santiago,196535,1,0,20,2020
Napo,133705,7,4,20,2020
Orellana,161338,2,1,20,2020
Pastaza,114202,5,1,20,2020
Pichincha,3228233,215,110,20,2020
Santa Elena,401178,245,54,20,2020
Sto. Domingo Tsáchilas,511151,52,13,20,2020
Sucumbíos,230503,3,0,20,2020
Tungurahua,590600,52,18,20,2020
Zamora Chinchipe,120416,2,0,20,2020
Azuay,881394,33,4,21,2020
Bolívar,209933,22,3,21,2020
Carchi,186869,9,1,21,2020
Cañar,281396,29,4,21,2020
Chimborazo,524004,100,13,21,2020
Cotopaxi,488716,46,8,21,2020
El Oro,715751,164,19,21,2020
Esmeraldas,591083,71,15,21,2020
Galápagos,33042,1,0,21,2020
Guayas,4387434,1362,136,21,2020
Imbabura,476257,12,1,21,2020
Loja,521154,20,1,21,2020
Los Ríos,921763,180,29,21,2020
Manabí,1562079,375,38,21,2020
Morona Santiago,196535,2,1,21,2020
Napo,133705,10,3,21,2020
Orellana,161338,4,2,21,2020
Pastaza,114202,5,0,21,2020
Pichincha,3228233,256,41,21,2020
Santa Elena,401178,277,32,21,2020
Sto. Domingo Tsáchilas,511151,63,11,21,2020
Sucumbíos,230503,3,0,21,2020
Tungurahua,590600,60,8,21,2020
Zamora Chinchipe,120416,4,2,21,2020
Azuay,881394,33,0,22,2020
Bolívar,209933,24,2,22,2020
Carchi,186869,11,2,22,2020
Cañar,281396,30,1,22,2020
Chimborazo,524004,109,9,22,2020
Cotopaxi,488716,54,8,22,2020
El Oro,715751,183,19,22,2020
Esmeraldas,591083,80,9,22,2020
Galápagos,33042,1,0,22,2020
Guayas,4387434,1405,43,22,2020
Imbabura,476257,14,2,22,2020
Loja,521154,21,1,22,2020
Los Ríos,921763,195,15,22,2020
Manabí,1562079,434,59,22,2020
Morona Santiago,196535,3,1,22,2020
Napo,133705,15,5,22,2020
Orellana,161338,4,0,22,2020
Pastaza,114202,5,0,22,2020
Pichincha,3228233,304,48,22,2020
Santa Elena,401178,281,4,22,2020
Sto. Domingo Tsáchilas,511151,74,11,22,2020
Sucumbíos,230503,5,2,22,2020
Tungurahua,590600,68,8,22,2020
Zamora Chinchipe,120416,5,1,22,2020
Azuay,881394,36,3,23,2020
Bolívar,209933,29,5,23,2020
Carchi,186869,12,1,23,2020
Cañar,281396,33,3,23,2020
Chimborazo,524004,117,8,23,2020
Cotopaxi,488716,61,7,23,2020
El Oro,715751,196,13,23,2020
Esmeraldas,591083,95,15,23,2020
Galápagos,33042,1,0,23,2020
Guayas,4387434,1468,63,23,2020
Imbabura,476257,14,0,23,2020
Loja,521154,28,7,23,2020
Los Ríos,921763,215,20,23,2020
Manabí,1562079,487,53,23,2020
Morona Santiago,196535,6,3,23,2020
Napo,133705,22,7,23,2020
Orellana,161338,7,3,23,2020
Pastaza,114202,6,1,23,2020
Pichincha,3228233,328,24,23,2020
Santa Elena,401178,286,5,23,2020
Sto. Domingo Tsáchilas,511151,83,9,23,2020
Sucumbíos,230503,8,3,23,2020
Tungurahua,590600,77,9,23,2020
Zamora Chinchipe,120416,6,1,23,2020
Azuay,881394,41,5,24,2020
Bolívar,209933,31,2,24,2020
Carchi,186869,13,1,24,2020
Cañar,281396,37,4,24,2020
Chimborazo,524004,126,9,24,2020
Cotopaxi,488716,68,7,24,2020
El Oro,715751,221,25,24,2020
Esmeraldas,591083,102,7,24,2020
Galápagos,33042,1,0,24,2020
Guayas,4387434,1493,25,24,2020
Imbabura,476257,19,5,24,2020
Loja,521154,35,7,24,2020
Los Ríos,921763,239,24,24,2020
Manabí,1562079,526,39,24,2020
Morona Santiago,196535,8,2,24,2020
Napo,133705,30,8,24,2020
Orellana,161338,8,1,24,2020
Pastaza,114202,7,1,24,2020
Pichincha,3228233,391,63,24,2020
Santa Elena,401178,305,19,24,2020
Sto. Domingo Tsáchilas,511151,95,12,24,2020
Sucumbíos,230503,10,2,24,2020
Tungurahua,590600,81,4,24,2020
Zamora Chinchipe,120416,9,3,24,2020
Azuay,881394,47,6,25,2020
Bolívar,209933,32,1,25,2020
Carchi,186869,16,3,25,2020
Cañar,281396,37,0,25,2020
Chimborazo,524004,140,14,25,2020
Cotopaxi,488716,103,35,25,2020
El Oro,715751,240,19,25,2020
Esmeraldas,591083,129,27,25,2020
Galápagos,33042,1,0,25,2020
Guayas,4387434,1542,49,25,2020
Imbabura,476257,29,10,25,2020
Loja,521154,38,3,25,2020
Los Ríos,921763,251,12,25,2020
Manabí,1562079,560,34,25,2020
Morona Santiago,196535,9,1,25,2020
Napo,133705,30,0,25,2020
Orellana,161338,15,7,25,2020
Pastaza,114202,15,8,25,2020
